1.99E+30	0	0	0	0	0	0
3.30E+23	5.79E+10	0	0	0	4.79E+04	0
4.87E+24	1.08E+11	0	0	0	3.50E+04	0
5.97E+24	1.50E+11	0	0	0	2.98E+04	0
6.42E+23	2.28E+11	0	0	0	2.41E+04	0
1.90E+27	7.79E+11	0	0	0	1.31E+04	0
5.68E+26	1.43E+12	0	0	0	9.70E+03	0
8.70E+25	2.87E+12	0	0	0	6.80E+03	0
1.02E+26	4.52E+12	0	0	0	5.40E+03	0
1.30E+22	5.91E+12	0	0	0	4.70E+03	0
5.97E+24	7.30E+12	0	0	0	4.26E+03	0
5.97E+24	8.69E+12	0	0	0	3.91E+03	0
5.97E+24	1.01E+13	0	0	0	3.63E+03	0
5.97E+24	1.15E+13	0	0	0	3.40E+03	0
5.97E+24	1.29E+13	0	0	0	3.21E+03	0
5.97E+24	1.43E+13	0	0	0	3.05E+03	0
5.97E+24	1.56E+13	0	0	0	2.91E+03	0
5.97E+24	1.70E+13	0	0	0	2.79E+03	0
5.97E+24	1.84E+13	0	0	0	2.68E+03	0
5.97E+24	1.98E+13	0	0	0	2.59E+03	0
5.97E+24	2.12E+13	0	0	0	2.50E+03	0
